#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2028449	2029615	-	ugd	1-1167/1167	===============	0/0	100.00	98.37	card	U00096.1:2099613-2098446	PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin.	peptide
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2087124	2088371	+	mdtA	1-1248/1248	===============	0/0	100.00	97.60	card	U00096.1:2154015-2155263	MdtA is the membrane fusion protein of the multidrug efflux complex mdtABC.	aminocoumarin
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2088371	2091493	+	mdtB	1-3123/3123	===============	0/0	100.00	98.27	card	U00096.1:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2091494	2094571	+	mdtC	1-3078/3078	===============	0/0	100.00	99.87	card	U00096.1:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2257076	2258719	-	YojI	1-1644/1644	===============	0/0	100.00	99.09	card	U00096.3:2308615-2306971	YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.	peptide
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2313584	2314552	+	PmrF	1-969/969	===============	0/0	100.00	100.00	card	U00096.1:2367070-2368039	PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.	peptide
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2414865	2416403	-	emrY	1-1539/1539	===============	0/0	100.00	99.03	card	D78168.1:1591-3130	emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.	tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2416403	2417458	-	emrK	1-1056/1056	===============	0/0	100.00	99.81	card	D78168.1:536-1592	emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC it mediates multidrug efflux.	tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2417982	2418596	+	evgA	1-615/615	===============	0/0	100.00	100.00	card	BA000007.3:3212025-3212640	EvgA when phosphorylated is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner it can be phosphorylated in the absence of EvgS when overexpressed.	fluoroquinolone;macrolide;penicillin_beta-lactam;tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2418601	2422194	+	evgS	1-3594/3594	===============	0/0	100.00	99.97	card	U00096.1:2484373-2487967	EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.	fluoroquinolone;macrolide;penicillin_beta-lactam;tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2508423	2511536	+	acrD	1-3114/3114	===============	0/0	100.00	99.78	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2705629	2706159	+	emrR	1-531/531	===============	0/0	100.00	100.00	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2706286	2707458	+	emrA	1-1173/1173	===============	0/0	100.00	99.83	card	AP009048.1:2810082-2811255	EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.	fluoroquinolone
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	2707475	2709013	+	emrB	1-1539/1539	===============	0/0	100.00	99.94	card	U00096.1:2812615-2814154	emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.	fluoroquinolone
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3112281	3113768	+	TolC	1-1488/1488	===============	0/0	100.00	99.93	card	FJ768952.1:0-1488	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.	aminocoumarin;aminoglycoside;carbapenem;cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;macrolide;penicillin_beta-lactam;peptide;phenicol;rifamycin;tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3136128	3136947	-	bacA	1-820/822	===============	0/0	99.76	99.27	card	U00096.3:3204131-3203309	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3340694	3341356	-	AcrS	1-663/663	===============	0/0	100.00	99.09	card	U00096.1:3413465-3412802	AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3341755	3342912	+	AcrE	1-1158/1158	===============	0/0	100.00	98.88	card	U00096.1:3413863-3415021	AcrE is a membrane fusion protein similar to AcrA.	cephalosporin;fluoroquinolone;penicillin_beta-lactam
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3342924	3346028	+	AcrF	1-3105/3105	===============	0/0	100.00	98.97	card	U00096.1:3415032-3418137	AcrF is a inner membrane transporter similar to AcrB.	cephalosporin;fluoroquinolone;penicillin_beta-lactam
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3414025	3414657	+	CRP	1-633/633	===============	0/0	100.00	99.84	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penicillin_beta-lactam
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3588723	3589880	+	mdtE	1-1158/1158	===============	0/0	100.00	100.00	card	AP009048.1:3981183-3980025	MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.	fluoroquinolone;macrolide;penicillin_beta-lactam
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3589905	3593018	+	mdtF	1-3114/3114	===============	0/0	100.00	99.97	card	U00096.1:3660413-3663527	MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.	fluoroquinolone;macrolide;penicillin_beta-lactam
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3593381	3594109	-	gadW	1-729/729	===============	0/0	100.00	94.65	card	CP015085.1:2552440-2551711	GadW is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance. GadW inhibits GadX-dependent activation. GadW clearly represses gadX and in situations where GadX is missing activates gadA and gadBC.	fluoroquinolone;macrolide;penicillin_beta-lactam
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	3594477	3595301	-	gadX	1-825/825	===============	0/0	100.00	100.00	card	AP009048.1:3974604-3975429	GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.	fluoroquinolone;macrolide;penicillin_beta-lactam
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	4083084	4084457	-	cpxA	1-1374/1374	===============	0/0	100.00	98.91	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	4278386	4279852	-	mdtP	1-1467/1467	===============	0/0	100.00	100.00	card	AP009048.1:4304509-4303042	Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride.	disinfecting_agents_and_antiseptics;nucleoside
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	4279849	4281900	-	mdtO	1-2052/2052	===============	0/0	100.00	99.85	card	AP009048.1:4306557-4304505	Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride.	disinfecting_agents_and_antiseptics;nucleoside
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	4281900	4282931	-	mdtN	1-1032/1032	===============	0/0	100.00	99.90	card	AP009048.1:4307588-4306556	Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride.	disinfecting_agents_and_antiseptics;nucleoside
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	4312661	4314304	-	eptA	1-1644/1644	===============	0/0	100.00	99.45	card	AP009048.1:4340268-4338624	PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine resulting in a less negative cell membrane and decreased binding of polymyxin B.	peptide
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	4356522	4357655	-	EC-15	1-1134/1134	===============	0/0	100.00	98.59	card	NG_049081.1:100-1234	EC-15 is a EC beta-lactamase.	cephalosporin
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	4548201	4549433	-	mdtM	1-1233/1233	===============	0/0	100.00	100.00	card	U00096.3:4568519-4567286	Multidrug resistance protein MdtM.	disinfecting_agents_and_antiseptics;fluoroquinolone;lincosamide;nucleoside;phenicol
